#,Word,Pinyin,Part of speech,Simple Native‑Speaker Definition (in 简单话),isAtomic,modifyee,qualifiers,comment (native thinking & specificity note),speaking commonality index,writing commonality index,isIgnored
1016,时期,shíqī,noun (period),一段时间,FALSE,时间,一段,Native thinks: “a span of time.” Not atomic; defined as 一段时间.,75,85,
1187,时机,shíjī,noun,好时候,FALSE,时候,好,Native thinks: “good opportunity (timing).”,60,70,
1190,时速,shísù,noun,一小时走多少,FALSE,速度,一小时,Native thinks: “speed per hour.”,55,70,
186,时间,shíjiān,noun (time),(atomic – duration),TRUE,—,—,Native thinks: “the indefinite continued progress of existence.” Basic noun; atomic.,90,95,
659,时间表,shíjiānbiǎo,noun (schedule),时间安排的表,FALSE,表,时间安排,Native thinks: “a table showing arrangements of time.” Not atomic; defined as 时间安排表.,70,75,
5,昂贵,ángguì,adjective (expensive),(use 贵),FALSE,贵,—,Native thinks: “very expensive.” Use 贵. Not atomic.,60,80,
680,昆虫,kūnchóng,noun (insect),小虫,FALSE,虫,小,Native thinks: “small bugs.” Not atomic; defined as 小虫.,65,70,
925,明亮,míngliàng,adjective,很亮,FALSE,亮,很,Native thinks: “bright.”,65,65,
129,明天,míngtiān,noun (tomorrow),今天的下一天,FALSE,天,今天，下,Native thinks: “the day after today.” Not atomic; defined via 天 + 下.,95,85,
128,明年,míngnián,noun (next year),今年的下一年,FALSE,年,今年，下,Native thinks: “the year after this year.” Not atomic; defined via 年 + 下.,85,80,
926,明明,míngmíng,adverb,很清楚,FALSE,清楚,很,"Native thinks: “obviously, clearly.”",70,65,
778,明星,míngxīng,noun (star),有名的艺人,FALSE,人,有名,Native thinks: “a famous performer.” Not atomic; defined as 有名的艺人.,80,80,
777,明显,míngxiǎn,adjective (obvious),很容易看出,FALSE,看出,容易,Native thinks: “easy to see.” Not atomic; defined as 容易看出来.,75,85,
271,明白,míngbai,adjective/verb (to understand; clear),"(atomic – to understand, clear)",TRUE,—,—,"Native thinks: “to understand, or be clear about something.” Basic verb/adjective; keep atomic.",90,85,
776,明确,míngquè,adjective/verb (clear; to clarify),很清楚,FALSE,清楚,很,Native thinks: “very clear.” Not atomic; defined as 很清楚.,70,85,
1572,易于,yìyú,verb,容易,FALSE,容易,—,Native thinks: “to be easy to.” Use 容易.,55,65,
826,星星,xīngxing,noun (star),(atomic – points of light in sky),TRUE,—,—,Native thinks: “tiny bright objects in the night sky.” Basic; atomic.,80,75,
243,星期,xīngqī,noun (week),(atomic – seven days),TRUE,—,—,Native thinks: “a cycle of seven days.” Basic time unit; atomic.,85,85,
245,星期天,xīngqītiān,noun (Sunday),同星期日,FALSE,星期日,—,Native thinks: “same as 星期日.” Not atomic; use 星期日.,80,70,
244,星期日,xīngqīrì,noun (Sunday),星期的最后一天,FALSE,天,星期，最后,Native thinks: “the last day of the week.” Not atomic; defined via 天 + 星期 + 最后.,75,70,
68,春天,chūntiān,noun (spring),一年中天气开始变暖的时候,FALSE,时候,一年，天气变暖,Native thinks: “the time of year when the weather starts to get warm.” Not atomic; defined via 时候 + 一年 + 天气变暖.,85,80,
297,昨天,zuótiān,noun (yesterday),今天的头一天,FALSE,天,今天，头一天,Native thinks: “the day before today.” Not atomic; defined via 天 + 今天 + 前.,95,85,
188,是,shì,verb (to be),(atomic – identity or equating),TRUE,—,—,Native thinks: “used to connect a subject with a description or identity.” Basic verb; atomic.,99,95,
670,是否,shìfǒu,adverb (whether or not),是不是,FALSE,是,不是,Native thinks: “whether or not.” Use 是不是. Not atomic.,65,80,
1423,显,xiǎn,adjective / verb,能看出来 / 让看出来,FALSE,能看 / 让,出来,Native thinks: “obvious” or “to show.”,70,65,
1234,显得,xiǎnde,"verb (to appear, seem)",看起来是,FALSE,看,起来,Native thinks: “looks like.” Use 看起来. Not atomic.,70,80,
1235,显然,xiǎnrán,adjective (obvious),很容易看出,FALSE,看出,容易,Native thinks: “easy to see.” Not atomic; defined as 明显.,70,85,
1236,显示,xiǎnshì,verb (to show),让人看见,FALSE,让人,看见,Native thinks: “to make people see.” Not atomic; defined as 展示.,75,85,
1425,显著,xiǎnzhù,adjective,非常明显,FALSE,明显,非常,"Native thinks: “significant, remarkable.”",55,75,
947,晒,shài,verb (to sunbathe),太阳下放,FALSE,放,太阳下,Native thinks: “to place in the sun.” Not atomic; defined as 晒太阳.,70,65,
1633,晕,yūn,adjective / verb,头转不舒服 / 头转倒下,FALSE,不舒服 / 倒,头转,Native thinks: “dizzy” or “to faint.”,65,55,
1634,晕车,yùnchē,verb,坐车头转,FALSE,头转,坐车,Native thinks: “to get carsick.”,65,50,
215,晚,wǎn,adjective (late),不早,FALSE,早,不,Native thinks: “not early.” Not atomic; defined as 不早.,85,80,
217,晚上,wǎnshang,noun (evening),天黑后到睡觉前,FALSE,时候,天黑后，睡觉前,Native thinks: “the time after dark and before sleep.” Not atomic; defined via 时候 + 天黑.,95,85,
371,晚会,wǎnhuì,noun (evening party),晚上开的会，玩或表演,FALSE,会,晚上，玩表演,Native thinks: “an evening gathering for fun or performances.” Not atomic; defined via 会 + 晚上 + 玩/表演.,70,70,
763,晚安,wǎn’ān,verb (good night),晚上分别时的客气话,FALSE,话,晚上分别,Native thinks: “polite words when parting at night.” Not atomic; phrase.,75,50,
370,晚点,wǎndiǎn,verb (to be late),比应该的时间晚,FALSE,晚,应该时间,Native thinks: “later than the expected time.” Not atomic; defined via 晚 + 应该时间.,70,65,
764,晚餐,wǎncān,noun (dinner),晚上的饭,FALSE,饭,晚上,Native thinks: “the evening meal.” Use 晚饭. Not atomic.,70,70,
216,晚饭,wǎnfàn,noun (dinner),晚上的饭,FALSE,饭,晚上,Native thinks: “the meal eaten in the evening.” Not atomic; defined via 饭 + 晚上.,85,75,
849,普及,pǔjí,verb (to popularize),让大家都用或知道,FALSE,让,大家用/知道,Native thinks: “to make everyone use or know.” Not atomic; defined as 推广.,65,80,
562,普通,pǔtōng,adjective (ordinary),不特别,TRUE,特别,不,Native thinks: “not special.” Not atomic; defined as 不特别.,75,80,
563,普通话,pǔtōnghuà,noun (Mandarin),中国的标准话,FALSE,话,中国，标准,Native thinks: “the standard spoken language of China.” Not atomic; defined as 中国的标准话.,85,85,
561,普遍,pǔbiàn,adjective (widespread),很多地方都有,FALSE,地方,很多有,Native thinks: “present in many places.” Not atomic; defined via 很多地方有.,70,80,
402,景区,jǐngqū,noun (scenic area),好看的地方的大片,FALSE,地方,好看，大片,Native thinks: “a large area of beautiful places.” Not atomic; defined via 地方 + 好看 + 大.,70,75,
401,景点,jǐngdiǎn,noun (scenic spot),好看的地方,FALSE,地方,好看,Native thinks: “a beautiful place to see.” Not atomic; defined via 地方 + 好看.,75,75,
403,景色,jǐngsè,noun (scenery),地方好看的样子,FALSE,样子,地方，好看,Native thinks: “the nice appearance of a place.” Not atomic; defined via 样子 + 地方 + 好看.,75,75,
724,景观,jǐngguān,noun,一个地方的山水花草的样子,FALSE,风景,看到,"Native thinks: “landscape, view.”",55,70,
725,景象,jǐngxiàng,noun,看到的画面,FALSE,画面,看到,"Native thinks: “scene, sight.”",60,65,
120,晴,qíng,"adjective (sunny, clear)",没有云，太阳出来,FALSE,天气,无云，太阳出,"Native thinks: “no clouds, sun visible.” Not atomic; defined via 天气 + 无云 + 太阳出.",75,70,
1066,晴朗,qínglǎng,adjective,没有云，亮,FALSE,亮,没有云,"Native thinks: “sunny, clear (sky).”",65,60,
1714,智力,zhìlì,noun,脑子,FALSE,脑子,—,Native thinks: “intelligence.” Use 脑子.,60,70,
1513,智慧,zhìhuì,noun (wisdom),聪明的想法和经验,FALSE,想法,聪明，经验,Native thinks: “smart thinking and experience.” Not atomic; defined as 聪明.,70,85,
1516,智能,zhìnéng,noun/adjective (intelligence; smart),会自己思考的本事,FALSE,本事,思考,Native thinks: “the ability to think for itself.” Not atomic; defined as 自己思考的能力.,75,85,
849,晾,liàng,verb,放在外面让干,FALSE,放,外面，让干,"Native thinks: “to dry, air out.”",65,60,
917,暂停,zàntíng,verb (to suspend),停一下,FALSE,停,一下,Native thinks: “to stop for a bit.” Not atomic; defined as 停一下.,70,75,
916,暂时,zànshí,adjective (temporary),短时间,FALSE,时间,短,Native thinks: “for a short time.” Not atomic; defined as 短时间.,70,75,
690,暑假,shǔjià,noun (summer vacation),夏天放的假,FALSE,假,夏天,Native thinks: “the holiday in summer.” Not atomic; defined as 夏天的假.,75,75,
963,暖,nuǎn,adjective / verb,不冷 / 让不冷,FALSE,不冷 / 让,—,Native thinks: “warm” or “to warm up.”,75,60,
540,暖和,nuǎnhuo,adjective/verb (warm),不太热，不太冷,FALSE,温度,中,Native thinks: “neither too hot nor too cold.” Not atomic; defined via 温度正好.,75,70,
964,暖气,nuǎnqì,noun,让屋里暖的东西,FALSE,东西,让屋里暖,Native thinks: “heater.”,70,60,
9,暗,àn,adjective (dark),(atomic – not bright),TRUE,—,—,Native thinks: “no or little light.” Basic adjective; atomic.,75,75,
4,暗示,ànshì,verb (to hint),不直接说，让人自己明白,FALSE,让,明白，不直接,Native thinks: “to make people understand without directly saying.” Not atomic; defined as 不直接说.,65,75,
30,暴力,bàolì,noun (violence),用武力打人,FALSE,武力,打人,Native thinks: “using physical force to hurt people.” Not atomic; defined as 打人的武力.,65,80,
34,暴雨,bàoyǔ,noun (torrential rain),很大的雨,FALSE,雨,大,Native thinks: “very heavy rain.” Not atomic; defined as 很大的雨.,65,70,
31,暴露,bàolù,verb (to expose),让本来藏着的被看见,FALSE,让,藏着，被看见,Native thinks: “to make something hidden become visible.” Not atomic; defined as 露出.,65,80,
1075,曲,qǔ,noun,歌,FALSE,歌,—,"Native thinks: “song, tune.” Use 歌.",60,60,
146,更,gèng,adverb (more),(atomic – comparative degree),TRUE,—,—,"Native thinks: “used to make a comparison, like ‘‑er’.” Basic adverb; keep atomic.",95,90,
249,更加,gèngjiā,"adverb (more, even more)",更,FALSE,更,—,Native thinks: “more.” Use 更. Not atomic.,75,80,
405,更换,gēnghuàn,verb (to replace),换,FALSE,换,—,Native thinks: “to exchange for a new one.” Use 换. Not atomic.,65,75,
406,更新,gēngxīn,verb (to update),变新,FALSE,变,新,Native thinks: “to make new again.” Not atomic; defined as 变新.,70,85,
97,曾,céng,"adverb (once, ever)",(atomic – indicates past experience),TRUE,—,—,Native thinks: “used to say something happened before.” Basic adverb; atomic.,70,85,
98,曾经,céngjīng,"adverb (once, ever)",曾,FALSE,曾,—,Native thinks: “same as 曾.” Use 曾. Not atomic.,70,85,
1123,替,tì,verb/preposition (to replace),(atomic – to act for another),TRUE,—,—,Native thinks: “to do something in place of another.” Basic verb; atomic.,70,80,
198,最,zuì,"adverb (most, -est)",(atomic – superlative degree),TRUE,—,—,Native thinks: “indicates the highest degree.” Basic adverb; atomic.,90,95,
1597,最佳,zuìjiā,adjective (best),最好,FALSE,好,最,Native thinks: “the best.” Use 最好. Not atomic.,70,85,
1596,最初,zuìchū,noun (at first),最开始,FALSE,开始,最,Native thinks: “the very beginning.” Not atomic; defined as 最开始.,70,80,
497,最后,zuìhòu,"noun (last, final)",时间上的最后面,FALSE,后,最,Native thinks: “the rearmost in time.” Not atomic; defined as 最后.,85,85,
496,最好,zuìhǎo,adverb (best),最合适，最让人满意,FALSE,好,最,"Native thinks: “most suitable, most satisfying.” Not atomic; defined as 最好.",85,80,
988,最终,zuìzhōng,noun (final),最后,FALSE,最后,—,Native thinks: “at the end.” Use 最后. Not atomic.,70,85,
498,最近,zuìjìn,noun (recently),过去离现在不远的时间,FALSE,时间,过去，不远,Native thinks: “a time in the past not far from now.” Not atomic; defined via 时间 + 过去 + 不远.,85,85,
269,月,yuè,noun (month; moon),(atomic – 1/12 year; the moon),TRUE,—,—,Native thinks: “a measure of time about 30 days; the celestial body.” Basic noun; atomic.,90,95,
459,月亮,yuèliang,noun (moon),(atomic – night star),TRUE,—,—,Native thinks: “the bright object in the night sky.” Basic celestial body; keep atomic.,85,80,
910,月份,yuèfèn,noun (month),月,FALSE,月,—,Native thinks: “a month.” Use 月. Not atomic.,75,80,
1629,月光,yuèguāng,noun,月亮的光,FALSE,光,月亮,Native thinks: “moonlight.”,65,55,
1631,月球,yuèqiú,noun,月亮,FALSE,月亮,—,Native thinks: “moon.” Use 月亮.,60,65,
908,月饼,yuèbing,noun (mooncake),中秋吃的圆饼,FALSE,饼,中秋吃,Native thinks: “a round cake eaten at Mid‑Autumn Festival.” Not atomic; defined via 饼 + 中秋.,70,65,
263,有,yǒu,"verb (to have, to exist)",(atomic – possession or existence),TRUE,—,—,Native thinks: “to possess; there is.” Basic verb; atomic.,99,95,
266,有些,yǒuxiē,pronoun/adverb (some; somewhat),有一些,FALSE,有,一些,Native thinks: “there exist some; rather.” Not atomic; use 有一些.,80,80,
446,有关,yǒuguān,verb/preposition (to have to do with; concerning),和…有关系,FALSE,关系,有,Native thinks: “to have a relationship with.” Not atomic; defined as 有关系.,80,85,
1411,有利,yǒulì,adjective (advantageous),有好的方面,FALSE,好的方面,有,Native thinks: “having benefits.” Not atomic; defined as 有好的方面.,70,80,
1410,有力,yǒulì,adjective (powerful),有力气,FALSE,力气,有,Native thinks: “having strength.” Not atomic; defined as 有力量.,70,80,
1414,有助于,yǒuzhùyú,verb (to help),帮助,FALSE,帮助,—,Native thinks: “to help.” Use 帮助. Not atomic.,65,80,
1604,有劲,yǒujìn,verb / adjective,有力 / 很有力,FALSE,有力,很,"Native thinks: “energetic, vigorous.”",70,55,
447,有名,yǒumíng,adjective (famous),很多人知道,FALSE,知道,很多人,Native thinks: “many people know.” Not atomic; defined as 很多人知道.,80,85,
1409,有害,yǒu hài,phrase (harmful),有坏处,FALSE,坏处,有,Native thinks: “having bad effects.” Not atomic; use 有坏处.,70,80,
1605,有序,yǒuxù,adjective,不乱,FALSE,不乱,—,Native thinks: “orderly.”,55,65,
179,有意思,yǒu yìsi,"phrase (interesting, enjoyable)",有意思,FALSE,意思,有,Native thinks: “having meaning or fun.” Not atomic; defined as 有意思.,85,80,
892,有效,yǒuxiào,verb (effective),有用,FALSE,用,有,Native thinks: “has use.” Use 有用. Not atomic.,75,85,
180,有时,yǒushí,adverb (sometimes),有的时侯,FALSE,时侯,有的,Native thinks: “at some times.” Not atomic; use 有的时候.,80,75,
1603,有机,yǒujī,adjective,不用化肥的,FALSE,不用,化肥,Native thinks: “organic (no chemical fertilizer).”,55,65,
265,有点儿,yǒudiǎnr,"adverb (a little, slightly)",有一点,FALSE,有,一点,Native thinks: “to a small degree.” Not atomic; use 有一点.,80,65,
448,有用,yǒuyòng,adjective (useful),可以用,FALSE,用,可以,Native thinks: “can be used.” Not atomic; defined as 可以用.,85,80,
264,有的,yǒude,pronoun (some of them),有一些,FALSE,有,一些,Native thinks: “there are some.” Not atomic; defined as 有一些.,75,75,
1413,有益,yǒuyì,adjective (beneficial),有好的方面,FALSE,好的方面,有,Native thinks: “having benefits.” Not atomic; use 有好的方面.,70,80,
894,有着,yǒuzhe,verb (to have),有,FALSE,有,—,Native thinks: “to have.” Use 有. Not atomic.,65,75,
891,有趣,yǒuqù,adjective (interesting),有意思,FALSE,意思,有,Native thinks: “having meaning or fun.” Use 有意思. Not atomic.,80,80,
1412,有限,yǒuxiàn,adjective (limited),有边界，不多,FALSE,多,不,"Native thinks: “with boundaries, not much.” Not atomic; defined as 不多.",70,85,
156,朋友,péngyou,noun (friend),(atomic – basic social relation),TRUE,—,—,Native thinks: “a person you like and trust.” Basic noun; atomic.,90,85,
398,服,fú,verb,穿 / 听,FALSE,穿 / 听,—,Native thinks: “to wear” or “to obey.”,65,70,
400,服从,fúcóng,verb,听别人的命令,FALSE,听,别人命令,Native thinks: “to obey someone’s order.”,60,70,
132,服务,fúwù,verb (to serve),为别人做事帮助别人,FALSE,帮助,为别人,Native thinks: “do things for others to help them.” Not atomic; defined via 帮助 + 为别人.,80,85,
404,服用,fúyòng,verb,吃（药）,FALSE,吃,药,Native thinks: “to eat (medicine).” Use 吃药.,55,70,
368,服装,fúzhuāng,noun (clothing),衣服,FALSE,衣服,—,Native thinks: “clothing.” Use 衣服. Not atomic.,75,85,
821,朗读,lǎngdú,verb,大声读,FALSE,读,大声,Native thinks: “to read aloud.”,60,65,
1365,望,wàng,verb,看,FALSE,看,—,"Native thinks: “to look at, gaze.” Use 看.",70,65,
121,朝,cháo,verb/preposition (to face; towards),(atomic – facing a direction),TRUE,—,—,Native thinks: “to be oriented toward a direction.” Basic verb/prep; atomic.,70,80,
142,朝代,cháodài,noun,一个皇帝管天下的时期,FALSE,时期,皇帝管天下,Native thinks: “a period when one emperor ruled the country.”,45,75,
564,期,qī,classifier (period; measure for issues),(classifier not used – use 个),FALSE,—,—,Native thinks: “a period of time; an issue.” Classifier ignored; use 个.,65,75,
566,期中,qīzhōng,noun (midterm),学期的中间,FALSE,中间,学期,Native thinks: “the middle of the semester.” Not atomic; defined as 学期的中间.,70,75,
850,期待,qīdài,verb (to expect),心里想着会发生,FALSE,想,会发生,Native thinks: “to think that something will happen.” Not atomic; defined as 盼望.,70,80,
1013,期望,qīwàng,verb,希望,FALSE,希望,—,"Native thinks: “to expect, hope for.” Use 希望.",60,70,
565,期末,qīmò,noun (end of term),学期的最后,FALSE,最后,学期,Native thinks: “the end of the school term.” Not atomic; defined as 学期的最后.,70,75,
851,期间,qījiān,noun (period),一段时间内,FALSE,时间,一段,Native thinks: “within a period of time.” Not atomic; defined as 那段时间.,70,85,
1014,期限,qīxiàn,noun,到哪天为止,FALSE,日,到哪天为止,"Native thinks: “time limit, deadline.”",55,70,
787,木头,mùtou,noun (wood),树的材科,FALSE,材料,树,Native thinks: “material from trees.” Not atomic; defined as 树的材料.,75,70,
940,木材,mùcái,noun,木头材料,FALSE,材料,木头,"Native thinks: “timber, wood.”",60,65,
1377,未,wèi,adverb,没,FALSE,没,—,"Native thinks: “not yet, not.” Use 没.",65,70,
1378,未必,wèibì,adverb,不一定,FALSE,不一定,—,"Native thinks: “not necessarily, may not.”",65,70,
1379,未成年人,wèichéngniánrén,noun,不到十八岁的人,FALSE,人,不到十八岁,Native thinks: “minor (under 18).”,55,70,
1196,未来,wèilái,adjective/noun (future),以后的时间,FALSE,时间,以后,Native thinks: “future time.” Not atomic; defined as 以后.,80,85,
513,末,mò,"noun (end, last)",(atomic – final part),TRUE,—,—,Native thinks: “the final part; opposite of beginning.” Basic noun; atomic.,65,75,
10,本,běn,classifier (for books),(not used in 简单话 – use 个),FALSE,—,—,Native thinks: “measure word for books.” Classifier ignored; use 个.,70,65,
40,本,běn,adverb/pronoun (originally; this),(atomic – originally; this),TRUE,—,—,Native thinks: “at first; also this (as in ‘this book’).” Basic; atomic.,75,80,
43,本人,běnrén,"pronoun (oneself, I)",自己,FALSE,自己,—,Native thinks: “oneself.” Use 自己. Not atomic.,70,75,
47,本土,běntǔ,noun (local territory),本国的土地,FALSE,土地,本国,Native thinks: “the land of one’s own country.” Not atomic; defined as 自己的国家的地.,65,80,
41,本地,běndì,noun (local area),这个地方,FALSE,地方,这,Native thinks: “this place.” Not atomic; defined as 这个地方.,75,75,
8,本子,běnzi,noun (notebook),写字的笔记本,FALSE,笔记本,—,Native thinks: “a notebook for writing.” Use 笔记本. Not atomic.,70,65,
25,本来,běnlái,adjective/adverb (original; originally),原来,FALSE,原来,—,Native thinks: “originally; before.” Use 原来. Not atomic.,75,80,
24,本科,běnkē,noun (undergraduate program),大学的主要专业学习,FALSE,学习,大学，主要,Native thinks: “the main university degree program.” Not atomic; defined via 大学 + 学习.,70,80,
45,本能,běnnéng,noun/adverb (instinct; instinctively),天生就会的本事,FALSE,本事,天生,Native thinks: “natural ability without learning.” Not atomic; defined as 天生能力.,65,80,
44,本质,běnzhì,noun (essence),根本的特点,FALSE,特点,根本,Native thinks: “the fundamental characteristic.” Not atomic; defined as 根本的特点.,65,85,
46,本身,běnshēn,pronoun (itself),自己,FALSE,自己,—,Native thinks: “oneself.” Use 自己. Not atomic.,70,85,
42,本领,běnlǐng,"noun (skill, ability)",做的本事,FALSE,本事,做,Native thinks: “the ability to do something.” Not atomic; defined as 本事.,70,75,
1011,朴素,pǔsù,adjective,简单不花,FALSE,简单,不花,"Native thinks: “simple, plain.”",60,65,
311,朵,duǒ,"classifier (for flowers, clouds)",(not used – use 个),FALSE,—,—,Native thinks: “measure word for flowers and clouds.” Ignore; use 个.,55,50,
189,机会,jīhuì,noun (opportunity),做某事的好时间,FALSE,时间,好，做某事,Native thinks: “a good time to do something.” Not atomic; defined via 时间 + 好.,85,85,
614,机制,jīzhì,noun,东西内部怎么工作的系统,FALSE,系统,内部工作,Native thinks: “the system of how something works internally.”,45,80,
605,机动车,jīdòngchē,noun,用机器动的车,FALSE,车,用机器动,Native thinks: “a motor vehicle.”,55,65,
522,机器,jīqì,noun (machine),(atomic – device with moving parts),TRUE,—,—,Native thinks: “a device with parts that work together to perform a task.” Basic noun; atomic.,85,85,
523,机器人,jīqìrén,noun (robot),像人的机器,FALSE,机器,像人,Native thinks: “a machine that resembles a person.” Not atomic; defined as 像人的机器.,75,75,
63,机场,jīchǎng,noun (airport),飞机起飞和降落的地方,FALSE,地方,飞机，起飞降落,Native thinks: “a place where planes take off and land.” Not atomic; defined via 地方 + 飞机.,80,80,
520,机构,jīgòu,noun (organization),有组织的单位,FALSE,单位,有组织,Native thinks: “an organized unit of people.” Not atomic; defined as 有组织的单位.,70,85,
611,机械,jīxiè,noun / adjective,机器 / 像机器一样不灵活,FALSE,机器 / 不灵活,—,Native thinks: “machinery” or “mechanical (inflexible).”,55,75,
64,机票,jīpiào,noun (airplane ticket),坐飞机的票,FALSE,票,坐飞机,Native thinks: “a ticket to ride an airplane.” Not atomic; defined as 坐飞机的票.,75,70,
613,机遇,jīyù,noun,好时候好机会,FALSE,时候,好机会,Native thinks: “a good opportunity.”,55,75,
1133,杀,shā,verb,(atomic – to kill),TRUE,—,—,Native thinks: “to cause death.” Basic verb; atomic.,75,70,
1638,杂,zá,adjective,混在一起,FALSE,混,在一起,"Native thinks: “miscellaneous, mixed.”",60,60,
913,杂志,zázhì,noun (magazine),定期出的书,FALSE,书,定期出,Native thinks: “a book published regularly.” Not atomic; defined as 定期出版的书.,70,80,
898,权,quán,noun/adverb (power; tentatively),(atomic – right or authority),TRUE,—,—,Native thinks: “the power or right to do something.” Basic noun; atomic.,70,85,
899,权利,quánlì,noun (right),有权做某事,FALSE,权,做,Native thinks: “the power to do something.” Not atomic; defined as 权.,75,90,
1081,权力,quánlì,noun,能管人的力,FALSE,力,能管人,"Native thinks: “power, authority.”",65,75,
61,材料,cáiliào,"noun (material, data)",做东西用的东西,FALSE,东西,做东西用,Native thinks: “things used to make something else.” Not atomic; defined via 东西 + 用.,80,85,
100,材质,cáizhì,noun (material),东西的料,FALSE,料,东西,Native thinks: “the material of something.” Not atomic; defined as 材料.,65,80,
107,村,cūn,noun (village),小的乡下地方,FALSE,地方,小，乡下,Native thinks: “a small rural place.” Not atomic; defined via 地方 + 小 + 乡下.,75,70,
229,村庄,cūnzhuāng,noun,农村的小片人家,FALSE,人家,农村，小片,Native thinks: “a small group of houses in the countryside.”,65,65,
1066,束,shù,classifier (bunch),(not used – use 个),FALSE,—,—,Native thinks: “measure word for bunches.” Ignore; use 个.,50,55,
143,条,tiáo,classifier (for long thin objects; clause),(not used – use 个),FALSE,—,—,"Native thinks: “measure word for long, thin things.” Classifier ignored; use 个.",70,75,
736,条件,tiáojiàn,noun (condition),做事需要的规则或东西,FALSE,规则/东西,需要,Native thinks: “requirements needed to do something.” Not atomic; defined via 需要的东西.,75,85,
106,来,lái,verb (to come),(atomic – move toward speaker),TRUE,—,—,Native thinks: “to move towards here.” Basic verb; atomic.,95,90,
450,来不及,láibují,verb (not enough time),时间不够做不了,FALSE,时间,不够,Native thinks: “there isn’t enough time to do it.” Not atomic; defined via 时间不够.,70,70,
813,来临,láilín,verb,来,FALSE,来,—,"Native thinks: “to come, arrive.” Use 来.",55,65,
814,来往,láiwǎng,verb,相互来去,FALSE,来,去,Native thinks: “to come and go” also “to interact.”,65,65,
451,来得及,láidejí,verb (still time),时间够可以做,FALSE,时间,够,Native thinks: “there is enough time.” Not atomic; defined via 时间够.,70,70,
682,来源,láiyuán,noun/verb (source; to originate),从哪来的,FALSE,地方,从哪来,Native thinks: “the place or origin from which something comes.” Not atomic; defined as 从哪来的地方.,65,85,
243,来自,láizì,verb (to come from),从某个地方来,FALSE,来,从地方,Native thinks: “to come from a certain place.” Not atomic; use 从来.,75,80,
9,杯子,bēizi,"noun (cup, glass)",用来装水喝的东西,FALSE,东西,装水喝,Native thinks: “something used to hold water for drinking.” Not atomic; defined via 东西 + 装水 + 喝.,85,70,
686,杰出,jiéchū,adjective,非常突出的好,FALSE,好,非常突出,"Native thinks: “outstanding, prominent.”",50,75,
1242,松,sōng,adjective / verb,不紧 / 让变不紧,FALSE,不紧 / 让,变,Native thinks: “loose” or “to loosen.”,70,60,
190,极,jí,adverb (extremely),很，非常,FALSE,很,—,"Native thinks: “very, extremely.” Can be replaced by 很 or 非常. Not atomic; ignore or define as 很.",80,85,
620,极为,jíwéi,adverb,非常,FALSE,非常,—,Native thinks: “extremely.” Use 非常.,50,70,
533,极其,jíqí,adverb (extremely),非常,FALSE,非常,—,Native thinks: “extremely.” Use 非常. Not atomic.,60,80,
616,极端,jíduān,noun / adverb / adjective,最头上的 / 非常非常 / 很偏的,FALSE,头 / 非常 / 偏,最,Native thinks: “the extreme end” / “extremely” / “radical.”,50,75,
421,构成,gòuchéng,verb/noun (to constitute; composition),组成为,FALSE,组成,为,Native thinks: “to form or make up.” Not atomic; defined as 组成.,65,85,
472,构造,gòuzào,verb,把东西做出来,FALSE,做,出来,Native thinks: “to construct.” Use 做.,50,75,
1679,枕头,zhěntou,noun,头枕,FALSE,枕,头,Native thinks: “pillow.”,70,55,
453,果实,guǒshí,noun (fruit),水果,FALSE,水果,—,Native thinks: “the edible part of a plant.” Use 水果. Not atomic.,70,75,
281,果汁,guǒzhī,noun (fruit juice),水果里的水,FALSE,水,水果里,Native thinks: “the liquid inside fruit.” Not atomic; defined as 水果里的水.,75,70,
452,果然,guǒrán,adverb (indeed),(atomic – as expected),TRUE,—,—,Native thinks: “used when something happens just as expected.” Basic adverb; atomic.,70,85,
1695,枝,zhī,noun / measure word,条,FALSE,条,—,Native thinks: “branch” or measure for long things. Use 条.,65,55,
1040,枪,qiāng,noun,能打死人的武器,FALSE,武器,能打死人,Native thinks: “gun.”,65,60,
798,枯燥,kūzào,adjective,没意思，让人烦,FALSE,没意思,让人烦,"Native thinks: “dry, boring.”",60,65,
560,架,jià,noun/verb/classifier (shelf; to fight; measure for planes),(noun: 放东西的架子；classifier not used),FALSE,架子,—,Native thinks: “a frame for holding things; also measure for planes.” Not atomic; noun defined as 架子.,65,70,
785,某,mǒu,"pronoun (certain, some)",(atomic – an unspecified one),TRUE,—,—,Native thinks: “some unspecified person or thing.” Basic pronoun; atomic.,75,85,
1087,染,rǎn,verb,上颜色,FALSE,上,颜色,Native thinks: “to dye.”,60,55,
1118,柔软,róuruǎn,adjective,很软,FALSE,软,很,Native thinks: “very soft.”,65,60,
447,柜子,guìzi,noun (cupboard),放东西的家具,FALSE,家具,放东西,Native thinks: “a piece of furniture for storing things.” Not atomic; defined as 放东西的柜.,70,65,
50,查,chá,verb (to check),仔细找东西看,FALSE,找,仔细，看,Native thinks: “look carefully to find or verify.” Defined via 找.,80,85,
69,查找,cházhǎo,"verb (to search for, to look up)",找,FALSE,找,—,Native thinks: “to look for.” Use 找. Not atomic.,70,75,
67,查看,chákàn,"verb (to check, to view)",检查看,FALSE,检查,看,Native thinks: “to inspect and see.” Not atomic; use 检查.,75,80,
120,查询,cháxún,verb,去问或找想知道的事,FALSE,找,想知道的事,Native thinks: “to ask or search for something you want to know.”,50,80,
